ClassID,Date,Time,Location,Capacity,Status,Notes
1,2026-09-24,10:00am To 1:00pm,TBD,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
2,2026-09-24,5:00pm To 8:00pm,TBD,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
3,2026-09-25,10:00am To 1:00pm,TBD,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
4,2026-09-25,5:00pm To 8:00pm,TBD,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
5,2026-09-26,10:00am To 1:00pm,TBD,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
6,2026-09-26,5:00pm To 8:00pm,TBD,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
7,2026-09-28,10:00am To 1:00pm,TBD,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
8,2026-09-28,5:00pm To 8:00pm,TBD,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
9,2026-09-29,10:00am To 1:00pm,Near you,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
10,2026-09-29,5:00pm To 8:00pm,Near you,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
11,2026-09-30,10:00am To 1:00pm,Your City,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
12,2026-09-30,5:00pm to 8:00pm,Your City,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
13,2026-10-03,10:00am To 1:00pm,Your City,6,Open,"Two Hour Study Session Plus One Hour Test - $119.00 Per Person, Does not include The ServSafe Exam Voucher"
