ID,DOT,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Category,Subcategory,Explanation,MustInclude,Difficulty,Language,Region,Product,PresenterContent,ContentSlide,JeopardyBoard,JeopardyQuestion1,JeopardyQuestion2,JeopardyQuestion3,JeopardyQuestion4,JeopardyCorrect,Reserved8,Reserved9,Reserved10,Reserved11,Reserved12,Reserved13,Reserved14,Reserved15
1,3-501.16,What is the minimum internal temperature for hot holding TCS food?,125°F,130°F,140°F,135°F,4,Time & Temperature,Hot Holding,TCS foods must be held at 135°F or above to stay out of the temperature danger zone where bacteria multiply rapidly.,0,2,English,US,SafePrep,D,0,1,What is the minimum hot-holding temperature for TCS food?,What is the cold-holding temperature?,What is the danger zone upper limit?,What is the reheating temperature?,1,,,,,,,,
2,3-501.14,How quickly must food be cooled from 135°F to 70°F?,Within 1 hour,Within 2 hours,Within 4 hours,Within 3 hours,2,Time & Temperature,Cooling,The first stage of cooling requires food to drop from 135°F to 70°F within 2 hours to limit bacterial growth.,0,2,English,US,SafePrep,D,0,1,How quickly must food cool from 135°F to 70°F?,How long can food stay at room temperature?,How quickly must food reheat to 165°F?,How long can hot food be held without temperature control?,1,,,,,,,,
3,3-501.14,"After reaching 70°F, how long do you have to cool food to 41°F?",3 hours,4 hours,2 hours,6 hours,2,Time & Temperature,Cooling,"After reaching 70°F, food must reach 41°F or below within the next 4 hours, completing the full 6-hour cooling window.",0,2,English,US,SafePrep,D,0,1,"After reaching 70°F, how long do you have to cool food to 41°F?",How long to cool from 135°F to 70°F?,How long can cold food be held without temperature control?,How long can hot food be held without temperature control?,1,,,,,,,,
4,3-501.18,How long can refrigerated TCS food be held at 41°F or lower?,3 days,5 days,10 days,7 days,4,Time & Temperature,Cold Holding,Ready-to-eat TCS food held at 41°F or below may be kept for up to 7 days before it must be discarded.,0,3,English,US,SafePrep,D,0,1,How long can refrigerated TCS food be held at 41°F or lower?,How long can shellfish tags be retained?,How long must HACCP records be kept?,How long can frozen food be stored?,1,,,,,,,,
5,3-501.19,How long can cold food be held without temperature control if it starts at 41°F or lower?,8 hours,4 hours,2 hours,6 hours,4,Time & Temperature,Time as Control,Cold food starting at 41°F or lower can be held without temperature control for up to 6 hours as long as it does not exceed 70°F.,0,2,English,US,SafePrep,D,0,1,How long can cold food be held without temperature control if it starts at 41°F or lower?,How long can hot food be held without temperature control?,How long can food be in the danger zone before discarding?,How long can refrigerated TCS food be held?,1,,,,,,,,
6,3-501.17,What must be included on a date-marked ready-to-eat TCS food?,The prep employee's name,The storage shelf location,The use-by date,The date it was prepared,3,Time & Temperature,Date Marking,Date marking requires a use-by date so staff know the last safe day to serve the food and can prevent serving expired items.,0,2,English,US,SafePrep,D,0,1,What must be included on a date-marked ready-to-eat TCS food?,What must be on a chemical label?,What must be on a delivery invoice?,What must be on a shellfish tag?,1,,,,,,,,
7,3-401.11,What is the minimum internal cooking temperature for poultry?,165°F for 15 seconds,150°F for 15 seconds,145°F for 15 seconds,155°F for 15 seconds,1,Time & Temperature,Cooking,Poultry must reach 165°F for at least 15 seconds to destroy Salmonella and other pathogens commonly found in chicken and turkey.,0,3,English,US,SafePrep,D,0,1,What is the minimum internal cooking temperature for poultry?,What is the minimum temperature for ground beef?,What is the minimum temperature for fish?,What is the minimum temperature for pork?,1,,,,,,,,
8,3-401.11,What is the minimum internal cooking temperature for ground meat?,165°F for 15 seconds,150°F for 15 seconds,155°F for 15 seconds,145°F for 15 seconds,3,Time & Temperature,Cooking,Ground meat must reach 155°F for 15 seconds because grinding spreads surface pathogens throughout the product.,0,3,English,US,SafePrep,D,0,1,What is the minimum internal cooking temperature for ground meat?,What is the minimum temperature for poultry?,What is the minimum temperature for whole cuts of beef?,What is the minimum temperature for fish?,1,,,,,,,,
9,3-401.11,What is the minimum internal cooking temperature for seafood?,165°F for 15 seconds,150°F for 15 seconds,155°F for 15 seconds,145°F for 15 seconds,4,Time & Temperature,Cooking,Seafood must reach 145°F for 15 seconds to destroy pathogens such as Vibrio and parasites common in fish and shellfish.,0,3,English,US,SafePrep,D,0,1,What is the minimum internal cooking temperature for seafood?,What is the minimum temperature for poultry?,What is the minimum temperature for ground meat?,What is the minimum temperature for hot holding?,1,,,,,,,,
10,3-403.11,What should you do if reheated food does not reach 165°F within 2 hours?,Hold it at 135°F and monitor it closely,Reheat it again to 165°F,Discard it and prepare fresh food,Reduce the portion size and retry,2,Time & Temperature,Reheating,"If reheating stalls, you must reheat it again to 165°F. Holding it at 135°F or discarding it are not the correct responses.",0,2,English,US,SafePrep,D,0,1,What should you do if reheated food does not reach 165°F within 2 hours?,What should you do if cold food rises above 41°F?,What should you do if a delivery is at the wrong temperature?,What should you do if a food handler is sick?,1,,,,,,,,
